"id","connection","value_type","value_format","unit","custom_axis","warning_high","warning_low","alarm_high","alarm_low","comp_target_var","product","variant_set","value_symbol","name_0","name_1","description_0","description_1","archive","delta","output","allow_update_output","request_comment","numval_format","config_incomplete","offset_sec","factor","comp","comp_recalc","archive_type","plcoperand","from_import","value_max","value_min","value_setpoint","name_2","name_3","name_4","description_2","description_3","description_4","color_class_id","parent","attr_jsonb"
"544","-175","-1","1","-60","","","","","","","","","online.[12408].oee","online.[12408].oee","online.[12408].oee","","","0","","0","0","0","d##.#","0","0","1","0","0","","","","","","","","","","","","","","","null"
"545","-176","-1","1","-60","","","","","","","","","online.[12408].avp","online.[12408].avp","online.[12408].avp","","","0","","0","0","0","d##.#","0","0","1","0","0","","","","","","","","","","","","","","","null"
"546","-177","-1","1","-60","","","","","","","","","online.[12408].avtot","online.[12408].avtot","online.[12408].avtot","","","0","","0","0","0","d##.#","0","0","1","0","0","","","","","","","","","","","","","","","null"
"547","-178","-1","1","-60","","","","","","","","","online.[12408].avsys","online.[12408].avsys","online.[12408].avsys","","","0","","0","0","0","d##.#","0","0","1","0","0","","","","","","","","","","","","","","","null"
"548","-179","-1","1","-60","","","","","","","","","online.[12408].avorg","online.[12408].avorg","online.[12408].avorg","","","0","","0","0","0","d##.#","0","0","1","0","0","","","","","","","","","","","","","","","null"
"549","-180","-1","1","-60","","","","","","","","","online.[12408].avtec","online.[12408].avtec","online.[12408].avtec","","","0","","0","0","0","d##.#","0","0","1","0","0","","","","","","","","","","","","","","","null"
"550","-183","-1","1","-110","","","","","","","","","online.[12408].fcsys","online.[12408].fcsys","online.[12408].fcsys","","","0","","0","0","0","d#0","0","0","1","0","0","","","","","","","","","","","","","","","null"
"551","-184","-1","1","-110","","","","","","","","","online.[12408].fcorg","online.[12408].fcorg","online.[12408].fcorg","","","0","","0","0","0","d#0","0","0","1","0","0","","","","","","","","","","","","","","","null"
"552","-185","-1","1","-110","","","","","","","","","online.[12408].fctec","online.[12408].fctec","online.[12408].fctec","","","0","","0","0","0","d#0","0","0","1","0","0","","","","","","","","","","","","","","","null"
"553","-186","-1","1","-110","","","","","","","","","online.[12408].fctot","online.[12408].fctot","online.[12408].fctot","","","0","","0","0","0","d#0","0","0","1","0","0","","","","","","","","","","","","","","","null"
"554","-187","-1","1","-15","","","","","","","","","online.[12408].ftsys","online.[12408].ftsys","online.[12408].ftsys","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"555","-188","-1","1","-15","","","","","","","","","online.[12408].ftorg","online.[12408].ftorg","online.[12408].ftorg","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"556","-189","-1","1","-15","","","","","","","","","online.[12408].fttec","online.[12408].fttec","online.[12408].fttec","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"557","-190","-1","1","-15","","","","","","","","","online.[12408].fttot","online.[12408].fttot","online.[12408].fttot","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"558","-191","-1","1","-15","","","","","","","","","online.[12408].ftcon","online.[12408].ftcon","online.[12408].ftcon","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"559","-192","-1","1","-15","","","","","","","","","online.[12408].wtn","online.[12408].wtn","online.[12408].wtn","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"560","-193","-1","1","-15","","","","","","","","","online.[12408].bttpm","online.[12408].bttpm","online.[12408].bttpm","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"561","-194","-1","1","-15","","","","","","","","","online.[12408].bta","online.[12408].bta","online.[12408].bta","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"562","-195","-1","1","-15","","","","","","","","","online.[12408].btp","online.[12408].btp","online.[12408].btp","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"563","-196","-1","1","-15","","","","","","","","","online.[12408].wtb","online.[12408].wtb","online.[12408].wtb","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"564","-197","-1","1","-15","","","","","","","","","online.[12408].ctarg","online.[12408].ctarg","online.[12408].ctarg","","","0","","0","0","0","t","0","0","1","0","0","","","","","","","","","","","","","","","null"
"565","-198","-1","1","-110","","","","","","","","","online.[12408].ptarg","online.[12408].ptarg","online.[12408].ptarg","","","0","","0","0","0","d#0","0","0","1","0","0","","","","","","","","","","","","","","","null"
"566","-199","-1","1","-110","","","","","","","","","online.[12408].preal","online.[12408].preal","online.[12408].preal","","","0","","0","0","0","d#0","0","0","1","0","0","","","","","","","","","","","","","","","null"
"567","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"568","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"569","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
"570","2","2","1","","","","","","","","","","","Kamal_Test_Var1","","","","0","","","","0","","0","0","1","0","0","","","","","","","","","","","","","","","null"
